Namespace(active_random=0, batch_size=100, batch_size_test=10, dataset='mini_imagenet', dataset_root='datasets', dec_lr=15000, decay_interval=10000, exp_name='minimagenet_N5_S5', iterations=8000, log_interval=20, lr=0.001, metric_network='gnn_iclr_nl', momentum=0.5, no_cuda=False, save_interval=300000, seed=1, test_N_shots=1, test_N_way=5, test_interval=2000, test_samples=30000, train_N_shots=1, train_N_way=5, unlabeled_extra=0)
Using GPU : 0 from 4 devices
Batch size: 100
Initiallize new Network Weights for enc_nn
Initiallize new Network Weights for metric_nn
EmbeddingImagenet(
  (conv1): Conv2d(3, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
  (bn1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv2): Conv2d(64, 96, kernel_size=(3, 3), stride=(1, 1), bias=False)
  (bn2): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (conv3): Conv2d(96, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
  (bn3): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (drop_3): Dropout2d(p=0.4)
  (conv4): Conv2d(128, 256, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1), bias=False)
  (bn4): BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (drop_4): Dropout2d(p=0.5)
  (fc1): Linear(in_features=6400, out_features=128, bias=True)
  (bn_fc): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
)
MetricNN(
  (gnn_obj): GNN_nl(
    (layer_w0): Wcompute(
      (conv2d_1): Conv2d(133, 192, kernel_size=(1, 1), stride=(1, 1))
      (bn_1): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_2): Conv2d(192, 192, kernel_size=(1, 1), stride=(1, 1))
      (bn_2): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_3): Conv2d(192, 96, kernel_size=(1, 1), stride=(1, 1))
      (bn_3): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_4): Conv2d(96, 96, kernel_size=(1, 1), stride=(1, 1))
      (bn_4): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_last): Conv2d(96, 1, kernel_size=(1, 1), stride=(1, 1))
    )
    (layer_l0): Gconv(
      (fc): Linear(in_features=266, out_features=48, bias=True)
      (bn): BatchNorm1d(48, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (layer_w1): Wcompute(
      (conv2d_1): Conv2d(181, 192, kernel_size=(1, 1), stride=(1, 1))
      (bn_1): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_2): Conv2d(192, 192, kernel_size=(1, 1), stride=(1, 1))
      (bn_2): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_3): Conv2d(192, 96, kernel_size=(1, 1), stride=(1, 1))
      (bn_3): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_4): Conv2d(96, 96, kernel_size=(1, 1), stride=(1, 1))
      (bn_4): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_last): Conv2d(96, 1, kernel_size=(1, 1), stride=(1, 1))
    )
    (layer_l1): Gconv(
      (fc): Linear(in_features=362, out_features=48, bias=True)
      (bn): BatchNorm1d(48, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    )
    (w_comp_last): Wcompute(
      (conv2d_1): Conv2d(229, 192, kernel_size=(1, 1), stride=(1, 1))
      (bn_1): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_2): Conv2d(192, 192, kernel_size=(1, 1), stride=(1, 1))
      (bn_2): BatchNorm2d(192, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_3): Conv2d(192, 96, kernel_size=(1, 1), stride=(1, 1))
      (bn_3): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_4): Conv2d(96, 96, kernel_size=(1, 1), stride=(1, 1))
      (bn_4): BatchNorm2d(96, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (conv2d_last): Conv2d(96, 1, kernel_size=(1, 1), stride=(1, 1))
    )
    (layer_last): Gconv(
      (fc): Linear(in_features=458, out_features=5, bias=True)
    )
  )
)
Train Iter: 0	Loss_d_metric: 1.607520
Train Iter: 20	Loss_d_metric: 1.687855

**** TESTING WITH val ***
108 correct from 500 	Accuracy: 21.600%)
*** TEST FINISHED ***


**** TESTING WITH test ***
103 correct from 500 	Accuracy: 20.600%)
*** TEST FINISHED ***


**** TESTING WITH train ***
12 correct from 100 	Accuracy: 12.000%)
*** TEST FINISHED ***

Best test accuracy 20.6000 

Train Iter: 40	Loss_d_metric: 1.624797
Train Iter: 60	Loss_d_metric: 1.627922
Train Iter: 80	Loss_d_metric: 1.624825
Train Iter: 100	Loss_d_metric: 1.621072
Train Iter: 120	Loss_d_metric: 1.619154
Train Iter: 140	Loss_d_metric: 1.617830
Train Iter: 160	Loss_d_metric: 1.617737
Train Iter: 180	Loss_d_metric: 1.616610
Train Iter: 200	Loss_d_metric: 1.619313
Train Iter: 220	Loss_d_metric: 1.611895
Train Iter: 240	Loss_d_metric: 1.613732
Train Iter: 260	Loss_d_metric: 1.613714
Train Iter: 280	Loss_d_metric: 1.614773
Train Iter: 300	Loss_d_metric: 1.612245
Train Iter: 320	Loss_d_metric: 1.614825
Train Iter: 340	Loss_d_metric: 1.613953
Train Iter: 360	Loss_d_metric: 1.614194
Train Iter: 380	Loss_d_metric: 1.615117
Train Iter: 400	Loss_d_metric: 1.605044
Train Iter: 420	Loss_d_metric: 1.605049
Train Iter: 440	Loss_d_metric: 1.605587
Train Iter: 460	Loss_d_metric: 1.603168
Train Iter: 480	Loss_d_metric: 1.596220
Train Iter: 500	Loss_d_metric: 1.602783
Train Iter: 520	Loss_d_metric: 1.597917
Train Iter: 540	Loss_d_metric: 1.594451
Train Iter: 560	Loss_d_metric: 1.585752
Train Iter: 580	Loss_d_metric: 1.599341
Train Iter: 600	Loss_d_metric: 1.589650
Train Iter: 620	Loss_d_metric: 1.586706
Train Iter: 640	Loss_d_metric: 1.574803
Train Iter: 660	Loss_d_metric: 1.576638
Train Iter: 680	Loss_d_metric: 1.572163
Train Iter: 700	Loss_d_metric: 1.573123
Train Iter: 720	Loss_d_metric: 1.589358
Train Iter: 740	Loss_d_metric: 1.575581
Train Iter: 760	Loss_d_metric: 1.562409
Train Iter: 780	Loss_d_metric: 1.564398
Train Iter: 800	Loss_d_metric: 1.559615
Train Iter: 820	Loss_d_metric: 1.567262
Train Iter: 840	Loss_d_metric: 1.565535
Train Iter: 860	Loss_d_metric: 1.558333
Train Iter: 880	Loss_d_metric: 1.559932
Train Iter: 900	Loss_d_metric: 1.554613
Train Iter: 920	Loss_d_metric: 1.550552
Train Iter: 940	Loss_d_metric: 1.537709
Train Iter: 960	Loss_d_metric: 1.553893
Train Iter: 980	Loss_d_metric: 1.548418
Train Iter: 1000	Loss_d_metric: 1.538783
Train Iter: 1020	Loss_d_metric: 1.538356
Train Iter: 1040	Loss_d_metric: 1.553966
Train Iter: 1060	Loss_d_metric: 1.529159
Train Iter: 1080	Loss_d_metric: 1.524878
Train Iter: 1100	Loss_d_metric: 1.536646
Train Iter: 1120	Loss_d_metric: 1.534615
Train Iter: 1140	Loss_d_metric: 1.530254
Train Iter: 1160	Loss_d_metric: 1.514473
Train Iter: 1180	Loss_d_metric: 1.532682
Train Iter: 1200	Loss_d_metric: 1.540252
Train Iter: 1220	Loss_d_metric: 1.505289
Train Iter: 1240	Loss_d_metric: 1.511511
Train Iter: 1260	Loss_d_metric: 1.520316
Train Iter: 1280	Loss_d_metric: 1.508143
Train Iter: 1300	Loss_d_metric: 1.476704
Train Iter: 1320	Loss_d_metric: 1.511689
Train Iter: 1340	Loss_d_metric: 1.514104
Train Iter: 1360	Loss_d_metric: 1.496320
Train Iter: 1380	Loss_d_metric: 1.498011
Train Iter: 1400	Loss_d_metric: 1.488774
Train Iter: 1420	Loss_d_metric: 1.511072
Train Iter: 1440	Loss_d_metric: 1.498990
Train Iter: 1460	Loss_d_metric: 1.484092
Train Iter: 1480	Loss_d_metric: 1.488516
Train Iter: 1500	Loss_d_metric: 1.459467
Train Iter: 1520	Loss_d_metric: 1.465845
Train Iter: 1540	Loss_d_metric: 1.479337
Train Iter: 1560	Loss_d_metric: 1.464511
Train Iter: 1580	Loss_d_metric: 1.470900
Train Iter: 1600	Loss_d_metric: 1.457986
Train Iter: 1620	Loss_d_metric: 1.453741
Train Iter: 1640	Loss_d_metric: 1.460083
Train Iter: 1660	Loss_d_metric: 1.475604
Train Iter: 1680	Loss_d_metric: 1.457909
Train Iter: 1700	Loss_d_metric: 1.418810
Train Iter: 1720	Loss_d_metric: 1.460020
Train Iter: 1740	Loss_d_metric: 1.453498
Train Iter: 1760	Loss_d_metric: 1.453633
Train Iter: 1780	Loss_d_metric: 1.441491
